Index,Restaurant Name,City,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
1005,Shiksha Fast Food,Faridabad,"Fast Food, Chinese",200,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,5
1006,Hungry Head,Faridabad,"Street Food, Fast Food",200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1007,Tandoori Hut,Faridabad,North Indian,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1008,Lalit Kathi Rolls Momos,Faridabad,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,9
1009,Tamasha In Tafree,Faridabad,Cafe,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
1010,Oh My!,Faridabad,"Chinese, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
1011,Butter & Grace,Faridabad,"North Indian, Chinese, Italian, Fast Food",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Orange,Average,7
1012,Green Chick Chop,Faridabad,"Raw Meats, North Indian, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,9
1013,Snacks Bar,Faridabad,Chinese,350,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
1014,Ahata,Faridabad,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
1015,Fritrolla,Faridabad,Desserts,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1016,KitchenYard,Faridabad,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1017,Meghansh Bakery,Faridabad,"Bakery, Desserts",200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
1018,Oh My !,Faridabad,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1019,The Dark Hour - Kitchen,Faridabad,Italian,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1020,Anupama Sweets & Family Restaurant,Faridabad,"Mithai, North Indian, South Indian, Chinese, Fast Food",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.7,Orange,Average,28
1021,Shree Rathnam,Faridabad,"South Indian, North Indian, Chinese",800,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,29
1022,Bikaner Misthan Bhandar,Faridabad,"Mithai, Street Food, Fast Food",150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1023,King's Kitchen,Faridabad,"North Indian, Mughlai, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1024,Muradabadi Chicken Biryani Corner,Faridabad,Mughlai,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
1025,The Black Kettle,Faridabad,"Fast Food, Beverages",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1026,Desi Tadka,Faridabad,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,6
1027,Destination Live,Faridabad,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),Yes,No,No,No,2,3.3,Orange,Average,12
1028,Kay's Bake Land,Faridabad,"Bakery, Desserts",150,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,19
1029,Kay's Food Land,Faridabad,"Bakery, Desserts",100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,14
1030,Laziz Restaurant,Faridabad,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,11
1031,Le Chef Restro Bar,Faridabad,"North Indian, Chinese",1000,Indian Rupees(Rs.),Yes,No,No,No,3,2.7,Orange,Average,70
1032,Republic of Chicken,Faridabad,"Raw Meats, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,18
1033,Tanishka Restaurant & Caterers,Faridabad,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,14
1034,The Tandoori Times,Faridabad,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,48
1035,Twist of Italy,Faridabad,"Chinese, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,52
1036,Aggarwal Sweets And Caterers,Faridabad,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1037,Biryani Bot,Faridabad,Biryani,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1038,Cafí© Kitchen,Faridabad,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1039,Evergreen Sweets & Restaurant,Faridabad,"North Indian, South Indian, Chinese, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
1040,Magic Spice Wok,Faridabad,"Chinese, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1041,Magical Momos,Faridabad,Chinese,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1042,Sam's Bake Shop,Faridabad,"Bakery, Fast Food",200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1043,Shri Bikaner Misthan Bhandar,Faridabad,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1044,Tasty Dhaba Family Restaurant,Faridabad,"North Indian, Mughlai",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1045,U & I,Faridabad,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
1046,Cravings,Faridabad,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,4
1047,Evergreen Tandoori Night,Faridabad,North Indian,550,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
1048,Prelibato,Faridabad,"Italian, North Indian",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1049,Aravali Owls,Faridabad,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
1050,Chicken Inn Family Meat Shop,Faridabad,"Raw Meats, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1051,Mother's Kitchen,Faridabad,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1052,Domino's Pizza,Faridabad,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,10
1053,Green Chick Chop,Faridabad,"Raw Meats, North Indian, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,5
1054,Punjabi Culture,Faridabad,"North Indian, Mughlai",500,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,4
1055,Three Olives,Faridabad,"Italian, Fast Food",550,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,4
1056,Aggarwal's Bikaner Mishthan Bhandar,Faridabad,"Mithai, South Indian, Chinese, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1057,Aravalli Owls,Faridabad,"North Indian, Chinese, Mughlai",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1058,Chatny Delight,Faridabad,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1059,Harmann Restaurant,Faridabad,"North Indian, South Indian, Chinese",350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
1060,Kulcha King,Faridabad,North Indian,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
1061,Royal Bakers,Faridabad,Bakery,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1062,Touch of Spice,Faridabad,"Chinese, North Indian",600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
1063,Hunger Cure,Faridabad,"Fast Food, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,47
1064,Sanjha Chulha,Faridabad,"North Indian, Mughlai",700,Indian Rupees(Rs.),No,Yes,No,No,2,2.5,Orange,Average,79
1065,Queens Cakes,Faridabad,Bakery,200,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,29
1066,Sri Meenakshi South Indian Food,Faridabad,South Indian,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1067,Sardar A Pure Meat Shop,Faridabad,"Raw Meats, Fast Food, North Indian",150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1068,Invitation Restaurant,Faridabad,"North Indian, South Indian, Chinese, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.7,Orange,Average,17
1069,Kaushik Bakery,Faridabad,Bakery,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,9
1070,Rama Vaishnav Bhojnalaya,Faridabad,"North Indian, Chinese",250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,7
1071,Shiv Saras Vyanjan,Faridabad,Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,5
1072,Shree Bikaner Misthan Bhandar,Faridabad,"Mithai, Bakery, Street Food, Chinese, South Indian",300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,8
1073,Shree Bikaner Misthan Bhandar,Faridabad,"Mithai, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,15
1074,Standard Family Restaurant,Faridabad,North Indian,450,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,16
1075,The Hunger End,Faridabad,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,4
1076,Pizza Express,Faridabad,"Pizza, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1077,Anupam Sweets & Restaurant,Faridabad,"North Indian, Chinese, Fast Food",450,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,10
1078,Caramel,Faridabad,"North Indian, Chinese, Continental",600,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,9
1079,Chaska Restaurant,Faridabad,"North Indian, Chinese",650,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,24
1080,Club Pizzeria,Faridabad,Pizza,550,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,19
1081,Gupha,Faridabad,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,8
1082,Indian Gourmet,Faridabad,"North Indian, Chinese, Raw Meats",450,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,8
1083,Tandoori Zaaika's,Faridabad,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,39
1084,TCD Cake & Bake,Faridabad,"Bakery, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,10
1085,The Grill Darbar,Faridabad,"North Indian, Mughlai, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,17
1086,Urban Cuisine,Faridabad,"North Indian, Chinese, Mughlai",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,37
1087,Mister Mughal,Faridabad,Mughlai,600,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,33
1088,The Hub,Faridabad,"Bakery, Fast Food",200,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,9
1089,Bake Your Dreamz,Faridabad,"Bakery, Desserts",800,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
1090,Green Chilly Chinese Food,Faridabad,Chinese,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
1091,Mom's Kitchen,Faridabad,North Indian,450,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1092,The Baking Treats N More,Faridabad,Bakery,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1093,Twin Brothers,Faridabad,Fast Food,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1094,Aggarwal Sweets Centre,Faridabad,"Mithai, Street Food, Chinese",100,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
1095,Bawarchi,Faridabad,"North Indian, Chinese, Mughlai",550,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,14
1096,D ART of Flavour,Faridabad,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,13
1097,Italia Cafe by Aura,Faridabad,"Fast Food, Beverages",400,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,5
1098,Pizza Street,Faridabad,"Fast Food, Pizza",550,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,12
1099,Rock Cafe,Faridabad,"North Indian, Chinese, South Indian",550,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,8
1100,Sardaar Ji Chaap & Rolls,Faridabad,North Indian,300,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,7
1101,Spice Wok,Faridabad,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,18
1102,Vrindavan Sweets & Restaurant,Faridabad,"North Indian, Chinese, South Indian, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,22
1103,Yummy Cake,Faridabad,Bakery,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,4
1104,Bikaner Sweets & Bakers,Faridabad,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1105,Burger Xpress,Faridabad,"Fast Food, Chinese, Burger",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1106,Da Pizza Zone,Faridabad,Italian,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
1107,Finger Licious,Faridabad,Fast Food,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1108,Med E Taste,Faridabad,Mediterranean,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
1109,Punjabii Tandoor,Faridabad,"North Indian, Mughlai",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
1110,Shankar Sweets,Faridabad,"Mithai, Street Food",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1111,Tasty Bites,Faridabad,"South Indian, Chinese, North Indian",200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
1112,The Street- Curries & Grills,Faridabad,"North Indian, Mughlai, Continental",600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
1113,Bakers Delight - The Atrium,Faridabad,"Bakery, Desserts",700,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,10
1114,On The Rocks - The  Atrium,Faridabad,Finger Food,1400,Indian Rupees(Rs.),Yes,No,No,No,3,3.1,Orange,Average,18
1115,World Cafe - Vibe by The LaLiT Traveller,Faridabad,"North Indian, Continental, Chinese",1900,Indian Rupees(Rs.),Yes,No,No,No,3,3.3,Orange,Average,56
1116,Chaudhary Ke Mashhoor Paranthe,Ghaziabad,North Indian,150,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,14
1117,Thakur Bakers,Ghaziabad,Bakery,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,6
1118,FoodByMom,Ghaziabad,North Indian,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.6,Yellow,Good,161
1119,Mr. Brown,Ghaziabad,"Fast Food, Cafe, Desserts, Bakery",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,52
1120,Mitalis Kitchen,Ghaziabad,North Indian,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1121,The Big Scoop,Ghaziabad,Ice Cream,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1122,9 Mars Lounge,Ghaziabad,"North Indian, Chinese",2500,Indian Rupees(Rs.),Yes,No,No,No,4,2.5,Orange,Average,184
1123,Barista,Ghaziabad,Cafe,650,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,33
1124,Baskin Robbins,Ghaziabad,Ice Cream,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,27
1125,Burger King,Ghaziabad,"Burger, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,327
1126,Cafe Coffee Day,Ghaziabad,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,63
1127,Chinese X'Press,Ghaziabad,Chinese,600,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,16
1128,Cinch,Ghaziabad,"North Indian, Chinese, Continental",1500,Indian Rupees(Rs.),Yes,No,No,No,3,2.6,Orange,Average,92
1129,Costa Coffee,Ghaziabad,Cafe,600,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,60
1130,Domino's Pizza,Ghaziabad,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,17
1131,Dosa X'press,Ghaziabad,South Indian,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,6
1132,Kebab Xpress,Ghaziabad,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,14
1133,Let's Noodle,Ghaziabad,Chinese,700,Indian Rupees(Rs.),No,Yes,No,No,2,2.6,Orange,Average,181
1134,McDonald's,Ghaziabad,"Fast Food, Burger",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,150
1135,Mx Corn,Ghaziabad,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,7
1136,Dunkin' Donuts,Ghaziabad,"Burger, Desserts, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,252
1137,Haldiram's,Ghaziabad,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,187
1138,Pind Balluchi,Ghaziabad,"North Indian, Mughlai",1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,1.8,Red,Poor,322
1139,Maini Restaurant,Ghaziabad,"North Indian, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,114
1140,The Dosa King,Ghaziabad,"South Indian, North Indian, Chinese",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,80
1141,Baba Au Rhum,Goa,"Italian, French, Cafe",800,Indian Rupees(Rs.),No,No,No,No,3,4.5,Dark Green,Excellent,280
1142,Burger Factory,Goa,Fast Food,1100,Indian Rupees(Rs.),No,No,No,No,4,4.8,Dark Green,Excellent,415
1143,Club Cubana,Goa,Finger Food,2000,Indian Rupees(Rs.),No,No,No,No,4,4.4,Green,Very Good,646
1144,Curlies,Goa,"Continental, North Indian, Italian, Seafood, Goan",1500,Indian Rupees(Rs.),No,No,No,No,4,3.5,Yellow,Good,1681
1145,La Plage,Goa,"Seafood, French",800,Indian Rupees(Rs.),No,No,No,No,3,4.6,Dark Green,Excellent,302
1146,St. Anthony's,Goa,"North Indian, Chinese, Continental, Goan, Seafood",1100,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good,911
1147,Britto's Bar & Restaurant,Goa,"North Indian, Continental, Chinese, Seafood",1400,Indian Rupees(Rs.),No,No,No,No,4,4.3,Green,Very Good,2191
1148,Fat Fish,Goa,"North Indian, Continental, Goan",1000,Indian Rupees(Rs.),No,No,No,No,4,4.2,Green,Very Good,856
1149,Martin's Corner,Goa,"Goan, Seafood, Chinese, North Indian",1600,Indian Rupees(Rs.),No,No,No,No,4,4.4,Green,Very Good,1115
1150,Infantaria,Goa,"Italian, Continental, Goan",800,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good,1221
1151,Souza Lobo,Goa,"North Indian, Continental, Goan",1300,Indian Rupees(Rs.),No,No,No,No,4,4.3,Green,Very Good,918
1152,Fisherman's Cove,Goa,"Goan, North Indian, Chinese",700,Indian Rupees(Rs.),No,No,No,No,3,3.8,Yellow,Good,601
1153,Calamari,Goa,"Goan, Seafood, Chinese",800,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,414
1154,The Fisherman's Wharf,Goa,"Continental, Goan, Seafood, North Indian",1100,Indian Rupees(Rs.),No,No,No,No,4,4.6,Dark Green,Excellent,555
1155,LPK Waterfront,Goa,Finger Food,1500,Indian Rupees(Rs.),No,No,No,No,4,3.7,Yellow,Good,516
1156,Ritz Classic,Goa,"Goan, Seafood, North Indian",600,Indian Rupees(Rs.),No,No,No,No,3,4.5,Dark Green,Excellent,840
1157,The Black Sheep Bistro,Goa,"Seafood, Continental, European, German",1500,Indian Rupees(Rs.),No,No,No,No,4,4.7,Dark Green,Excellent,681
1158,Cafe Al Fresco by Cantina Bodega,Goa,Cafe,800,Indian Rupees(Rs.),No,No,No,No,3,4.3,Green,Very Good,265
1159,The Fisherman's Wharf,Goa,"Continental, Goan, Seafood, North Indian",1100,Indian Rupees(Rs.),No,No,No,No,4,4.4,Green,Very Good,323
1160,Antares,Goa,Seafood,2000,Indian Rupees(Rs.),No,No,No,No,4,4.2,Green,Very Good,367
1161,K Lab,Gurgaon,"Cafe, Beverages",350,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average,16
1162,Pind Balluchi,Gurgaon,"North Indian, Mughlai",800,Indian Rupees(Rs.),Yes,Yes,No,No,2,2.7,Orange,Average,80
1163,Punjab Grill,Gurgaon,"North Indian, Mughlai",2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,4.3,Green,Very Good,1887
1164,Zambar,Gurgaon,"South Indian, Seafood, Kerala",1400,Indian Rupees(Rs.),Yes,Yes,No,No,3,4,Green,Very Good,802
1165,Cakes & More,Gurgaon,Bakery,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,4
1166,Kwality Wall's Swirl's,Gurgaon,Ice Cream,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,5
1167,Yo! Dimsum,Gurgaon,Chinese,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,10
1168,Mx Corn,Gurgaon,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
1169,Red,Gurgaon,"Japanese, Thai, Chinese",1200,Indian Rupees(Rs.),No,Yes,No,No,3,3,Orange,Average,57
1170,Rocketchefs,Gurgaon,"Pizza, Desserts",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Orange,Average,4
1171,The Fresh Chicken Store,Gurgaon,"Raw Meats, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
1172,Achoos Food Corner,Gurgaon,"South Indian, Chinese, Mughlai",450,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1173,Aha Bites,Gurgaon,"Fast Food, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1174,Ancient Spice,Gurgaon,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
1175,Chimney - The Takeaway,Gurgaon,"North Indian, South Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
1176,Costa Coffee,Gurgaon,Cafe,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
1177,Good to Go,Gurgaon,Raw Meats,500,Indian Rupees(Rs.),No,Yes,No,No,2,0,White,Not rated,1
1178,Gopi Sweets & Caters,Gurgaon,"Mithai, North Indian",100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1179,Late Night Food,Gurgaon,"North Indian, Chinese, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
1180,Lavi Foji Dhaba,Gurgaon,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1181,Narayan Fast Food Home,Gurgaon,"North Indian, Chinese",350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1182,OMG Kitchenz,Gurgaon,"South Indian, Street Food",300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
1183,OMG Tiffinz,Gurgaon,"North Indian, Chinese",250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1184,Sardarji Chicken Point,Gurgaon,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
1185,Solty Hotel,Gurgaon,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
1186,Tanishk Gourmet Indian,Gurgaon,"North Indian, Mughlai, Seafood",800,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
1187,The Burger Chef,Gurgaon,Fast Food,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,3
1188,Club Tokyo - Best Western Skycity Hotel,Gurgaon,Japanese,1500,Indian Rupees(Rs.),Yes,No,No,No,3,2.8,Orange,Average,13
1189,Lattitude - Skycity Hotel,Gurgaon,"North Indian, Chinese, Continental",2500,Indian Rupees(Rs.),Yes,No,No,No,4,2.9,Orange,Average,15
1190,Bisque Bakery,Gurgaon,"Bakery, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,415
1191,Behrouz Biryani,Gurgaon,Biryani,600,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,36
1192,Domino's Pizza,Gurgaon,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,104
1193,Giani,Gurgaon,"Ice Cream, Desserts",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,70
1194,PizzaVito,Gurgaon,"Italian, Pizza, Lebanese",900,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.3,Orange,Average,218
1195,Shawarma House,Gurgaon,Lebanese,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,225
1196,Subway,Gurgaon,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,2.5,Orange,Average,150
1197,Asian Bistro,Gurgaon,"Chinese, Thai, North Indian, Japanese",1600,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.8,Yellow,Good,184
1198,BBQ Factory,Gurgaon,North Indian,1400,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.9,Yellow,Good,146
1199,Faaso's,Gurgaon,"North Indian, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,33
1200,Chaayos,Gurgaon,"Cafe, Tea",400,Indian Rupees(Rs.),No,Yes,No,No,1,4.3,Green,Very Good,48
1201,Mosaic - Country Inn & Suites,Gurgaon,"North Indian, Asian, Continental",1500,Indian Rupees(Rs.),Yes,No,No,No,3,3.8,Yellow,Good,91
1202,60 ML - Country Inn & Suites by Carlson,Gurgaon,Finger Food,1000,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,7
1203,Mosaic - Country Inn & Suites by Carlson,Gurgaon,"Continental, North Indian, Chinese",1800,Indian Rupees(Rs.),Yes,No,No,No,3,3.5,Yellow,Good,37
1204,Big Shot Bar - Country Inn & Suites,Gurgaon,"Chinese, Italian, North Indian",2200,Indian Rupees(Rs.),Yes,No,No,No,4,3.5,Yellow,Good,32
1205,Mosaic - Country Inn & Suites By Carlson,Gurgaon,"North Indian, Chinese, Italian, Continental",1300,Indian Rupees(Rs.),Yes,No,No,No,3,3.4,Orange,Average,19
